Tên sản phẩm,Giá gốc,Giá bán,Kích thước màn hình,RAM,Bộ nhớ,Chipset,Pin,Kích thước,Bluetooth,Camera trước,Wi-Fi,Hệ điều hành,Độ phân giải màn hình,Tần số quét,Trọng lượng,Quay video,GPU,Cổng sạc,url,image_url,web
iPhone 11 Pro Max 64GB (Likenew),,14.990.000₫,6.5,4GB,64GB,Apple A13 Bionic 6 nhân,3046mAh,,"LE, v5.0",12MP,"Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac/ax, Wi-Fi hotspot",iOS 14,,,Nặng 226 g,"4K 2160p@24fps, 4K 2160p@30fps, 4K 2160p@60fps, FullHD 1080p@120fps, FullHD 1080p@240fps, FullHD 1080p@30fps, FullHD 1080p@60fps, HD 720p@30fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone XR 256GB (Likenew),,9.790.000₫,,3GB,64GB,Apple A12 Bionic,2942mAh,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,"A2DP, LE, v5.0",7MP,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac",iOS 12,,60 Hz,,"4K 2160p@24fps, 4K 2160p@30fps, FullHD 1080p@30fps, 4K 2160p@60fps, FullHD 1080p@60fps, FullHD 1080p@240fps, FullHD 1080p@120fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone XR 128GB (Likenew),,9.290.000₫,,3GB,64GB,Apple A12 Bionic,2942mAh,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,"A2DP, LE, v5.0",7MP,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac",iOS 12,,60 Hz,,"4K 2160p@24fps, 4K 2160p@30fps, FullHD 1080p@30fps, 4K 2160p@60fps, FullHD 1080p@60fps, FullHD 1080p@240fps, FullHD 1080p@120fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone XR 64GB Quốc Tế (Likenew 99%),,6.990.000₫,,3GB,64GB,Apple A12 Bionic,2942mAh,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,"A2DP, LE, v5.0",7MP,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac",iOS 12,,60 Hz,,"4K 2160p@24fps, 4K 2160p@30fps, FullHD 1080p@30fps, 4K 2160p@60fps, FullHD 1080p@60fps, FullHD 1080p@240fps, FullHD 1080p@120fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone XR 64GB Quốc Tế Mới (LL/A),,12.500.000₫,,3GB,64GB,Apple A12 Bionic,2942mAh,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,"A2DP, LE, v5.0",7MP,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac",iOS 12,,60 Hz,,"4K 2160p@24fps, 4K 2160p@30fps, FullHD 1080p@30fps, 4K 2160p@60fps, FullHD 1080p@60fps, FullHD 1080p@240fps, FullHD 1080p@120fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone Xr (Likenew),,6.990.000₫,,3GB,64GB,Apple A12 Bionic,2942mAh,Dài 150.9 mm - Ngang 75.7 mm - Dày 8.3 mm,"A2DP, LE, v5.0",7MP,"Wi-Fi hotspot, Dual-band (2.4 GHz/5 GHz), Wi-Fi 802.11 a/b/g/n/ac",iOS 12,,60 Hz,,"4K 2160p@24fps, 4K 2160p@30fps, FullHD 1080p@30fps, 4K 2160p@60fps, FullHD 1080p@60fps, FullHD 1080p@240fps, FullHD 1080p@120fps",Apple GPU 4 nhân,Lightning,,,Worldphone
iPhone 8 Plus 256GB Quốc Tế Cũ,,9.790.000₫,5.5,3GB,256GB,Apple A11 Bionic 6 nhân,2691mAh,Dài 158.4 mm - Ngang 78.1 mm - Dày 7.5 mm,"EDR, LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,202 g,Quay phim 4K 2160p@60fps,Apple GPU 3 nhân,Lightning,,,Worldphone
iPhone 8 Plus 64GB (Likenew),,6.390.000₫,5.5,3GB,64GB,Apple A11 Bionic 6 nhân,2691mAh,Dài 158.4 mm - Ngang 78.1 mm - Dày 7.5 mm,"EDR, LE, A2DP, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,202 g,Quay phim 4K 2160p@60fps,Apple GPU 3 nhân,Lightning,,,Worldphone
iPhone 8 256GB (Likenew),,6.990.000₫,4.7,2GB,64GB,Apple A11 Bionic 6 nhân,1821mAh,Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm,"EDR, A2DP, LE, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,148 g,Quay phim 4K 2160p@60fps,Apple GPU 3 nhân,Lightning,,,Worldphone
iPhone 8 64GB (Likenew),,5.590.000₫,4.7,2GB,64GB,Apple A11 Bionic 6 nhân,1821mAh,Dài 138.4 mm - Ngang 67.3 mm - Dày 7.3 mm,"EDR, A2DP, LE, v5.0",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,148 g,Quay phim 4K 2160p@60fps,Apple GPU 3 nhân,Lightning,,,Worldphone
iPhone 7 Plus 256GB Quốc Tế Cũ,,8.790.000₫,5.5,3GB,32GB,Apple A10 Fusion 4 nhân 64-bit,2900mAh,Dài 158.2 mm - Ngang 77.9 mm - Dày 7.3 mm,"A2DP, LE, v4.2",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,188g,Quay phim 4K 2160p@30fps,Chip đồ họa 6 nhân,Lightning,,,Worldphone
iPhone 7 Plus 128GB Quốc Tế Cũ,,6.190.000₫,5.5,3GB,32GB,Apple A10 Fusion 4 nhân 64-bit,2900mAh,Dài 158.2 mm - Ngang 77.9 mm - Dày 7.3 mm,"A2DP, LE, v4.2",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,188g,Quay phim 4K 2160p@30fps,Chip đồ họa 6 nhân,Lightning,,,Worldphone
iPhone 7 Plus 32GB Quốc Tế Cũ,,5.290.000₫,5.5,3GB,32GB,Apple A10 Fusion 4 nhân 64-bit,2900mAh,Dài 158.2 mm - Ngang 77.9 mm - Dày 7.3 mm,"A2DP, LE, v4.2",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,188g,Quay phim 4K 2160p@30fps,Chip đồ họa 6 nhân,Lightning,,,Worldphone
iPhone 7 32GB (Likenew),,2.990.000₫,4.7,2GB,32GB,Apple A10 Fusion 4 nhân 64-bit,1960mAh,Dài 138.3 mm - Ngang 67.1 mm - Dày 7.1 mm,"A2DP, LE, v4.2",7MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi hotspot",iOS 12,,,138 g,Quay phim 4K 2160p@30fps,Chip đồ họa 6 nhân,Lightning,,,Worldphone
