Tên sản phẩm,Giá gốc,Giá bán,Kích thước màn hình,RAM,Bộ nhớ,Chipset,Pin,Kích thước,Bluetooth,Camera trước,Wi-Fi,Hệ điều hành,Độ phân giải màn hình,Tần số quét,Trọng lượng,Quay video,GPU,Cổng sạc,url,image_url,web
LG V20 Quốc Tế Mỹ (Nobox - Likenew 99%),,1.990.000₫,,4GB,64GB,Snapdragon 820 4 nhân 64-bit,3200mAh,159.7 x 78.1 x 7.6 mm,Có,5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.0 (Nougat),,,174 g,Quay phim 4K 2160p@30fps,Adreno 530,USB Type-C,,,Worldphone
LG V20 Hàn Cũ,,1.990.000₫,,4GB,64GB,Snapdragon 820 4 nhân 64-bit,3200mAh,159.7 x 78.1 x 7.6 mm,Có,5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.0 (Nougat),,,174 g,Quay phim 4K 2160p@30fps,Adreno 530,USB Type-C,,,Worldphone
Samsung Galaxy Note 8 Hàn 2 sim (Nobox - Likenew 99%),,5.990.000₫,6.3,6GB,64GB,Exynos 8895,3300mAh,"Dài 162,5 mm - Ngang 74,8 mm - Dày 8,6 mm","apt-X, A2DP, LE, EDR, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,195g,Quay phim 4K 2160p@30fps,Mali-G71 MP20,USB Type-C,,,Worldphone
Samsung Galaxy Note 8 (Nobox - Likenew 99%),,5.990.000₫,6.3,6GB,64GB,Snapdragon 835,3300mAh,"Dài 162,5 mm - Ngang 74,8 mm - Dày 8,6 mm","apt-X, A2DP, LE, EDR, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.1 (Nougat),,,195g,Quay phim 4K 2160p@30fps,Mali-G71 MP20,USB Type-C,,,Worldphone
Samsung Galaxy S9 (Nobox - Likenew 99%),,6.390.000₫,5.8,4GB,64GB,Snapdragon 845,3000mAh,Dài 147.7 mm - Ngang 68.7 mm - Dày 8.5 mm,"A2DP, LE, EDR, apt-X, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 8.0 (Oreo),,,163 g,"Quay phim siêu chậm 960 fps, Quay phim FullHD 1080p@240fps, Quay phim 4K 2160p@60fps",Mali-G72 MP18,USB Type-C,,,Worldphone
Samsung Galaxy S7 Edge 1 Sim (Nobox - Likenew 99%),,4.990.000₫,,4GB,,Exynos 8890,3600mAh,150.9 x 72.6 x 7.7 mm,"v4.2, A2DP, LE, apt-X",12MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",,1440 x 2560 pixels,,157g,Quay phim 4K 2160p@30fps,Mali-T880 MP12,,,,Worldphone
Samsung Galaxy S7 Edge 2 Sim (Nobox - Likenew 99%),,4.490.000₫,,4GB,,Snapdragon 820,3600mAh,150.9 x 72.6 x 7.7 mm,"v4.2, A2DP, LE, apt-X",12MP,"Wi-Fi 802.11 a/b/g/n/ac, dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",,1440 x 2560 pixels,,157g,Quay phim 4K 2160p@30fps,Mali-T880 MP12,,,,Worldphone
Samsung Galaxy S7 1 Sim (Nobox - Likenew 99%),,2.990.000₫,5.1,4GB,32GB,Snapdragon 820,3000mAh,Dài 142.4 mm - Ngang 69.6 mm - Dày 7.9 mm,"A2DP, LE, EDR, v4.2",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,152 g,Quay phim 4K 2160p@30fps,Mali-T880 MP12,Micro USB,,,Worldphone
Samsung Galaxy S7 2 Sim (Nobox - Likenew 99%),,4.290.000₫,5.1,4GB,32GB,Snapdragon 820,3000mAh,Dài 142.4 mm - Ngang 69.6 mm - Dày 7.9 mm,"A2DP, LE, EDR, v4.2",5MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 6.0 (Marshmallow),,,152 g,Quay phim 4K 2160p@30fps,Mali-T880 MP12,Micro USB,,,Worldphone
Samsung Galaxy S8 Plus (Nobox - Likenew 99%),,11.590.000₫,6.2,4GB,64GB,Snapdragon 835,3500mAh,Dài 159.5 mm - Ngang 73.4 mm - Dày 8.1 mm,"apt-X, EDR, LE, A2DP, v5.0",8MP,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, DLNA, Wi-Fi Direct, Wi-Fi hotspot",Android 7.0 (Nougat),,,173 g,Quay phim 4K 2160p@30fps,Mali™ G71,USB Type-C,,,Worldphone
